,municipio_id_sus,nome,uf_sigla,periodo_codigo,indicadores_nome,nota_porcentagem,meta,municipio_uf
0,330100,Campos dos Goytacazes,RJ,2022.Q3,Pré-Natal (6 consultas),5,45.0,Campos dos Goytacazes-RJ
1,330100,Campos dos Goytacazes,RJ,2022.Q3,Pré-Natal (Sífilis e HIV),24,60.0,Campos dos Goytacazes-RJ
2,330100,Campos dos Goytacazes,RJ,2022.Q3,Gestantes Saúde Bucal,8,60.0,Campos dos Goytacazes-RJ
3,330100,Campos dos Goytacazes,RJ,2022.Q3,Cobertura Citopatológico,6,40.0,Campos dos Goytacazes-RJ
4,330100,Campos dos Goytacazes,RJ,2022.Q3,Cobertura Polio e Penta,37,95.0,Campos dos Goytacazes-RJ
5,330100,Campos dos Goytacazes,RJ,2022.Q3,Hipertensão (PA Aferida),5,50.0,Campos dos Goytacazes-RJ
6,330100,Campos dos Goytacazes,RJ,2022.Q3,Diabetes (Hemoglobina Glicada),2,50.0,Campos dos Goytacazes-RJ
7,291840,Juazeiro,BA,2022.Q3,Pré-Natal (6 consultas),34,45.0,Juazeiro-BA
8,291840,Juazeiro,BA,2022.Q3,Pré-Natal (Sífilis e HIV),58,60.0,Juazeiro-BA
9,291840,Juazeiro,BA,2022.Q3,Gestantes Saúde Bucal,32,60.0,Juazeiro-BA
10,291840,Juazeiro,BA,2022.Q3,Cobertura Citopatológico,8,40.0,Juazeiro-BA
11,291840,Juazeiro,BA,2022.Q3,Cobertura Polio e Penta,37,95.0,Juazeiro-BA
12,291840,Juazeiro,BA,2022.Q3,Hipertensão (PA Aferida),13,50.0,Juazeiro-BA
13,291840,Juazeiro,BA,2022.Q3,Diabetes (Hemoglobina Glicada),8,50.0,Juazeiro-BA
14,330370,Paraíba do Sul,RJ,2022.Q3,Pré-Natal (6 consultas),30,45.0,Paraíba do Sul-RJ
15,330370,Paraíba do Sul,RJ,2022.Q3,Pré-Natal (Sífilis e HIV),57,60.0,Paraíba do Sul-RJ
16,330370,Paraíba do Sul,RJ,2022.Q3,Gestantes Saúde Bucal,41,60.0,Paraíba do Sul-RJ
17,330370,Paraíba do Sul,RJ,2022.Q3,Cobertura Citopatológico,22,40.0,Paraíba do Sul-RJ
18,330370,Paraíba do Sul,RJ,2022.Q3,Cobertura Polio e Penta,33,95.0,Paraíba do Sul-RJ
19,330370,Paraíba do Sul,RJ,2022.Q3,Hipertensão (PA Aferida),28,50.0,Paraíba do Sul-RJ
20,330370,Paraíba do Sul,RJ,2022.Q3,Diabetes (Hemoglobina Glicada),15,50.0,Paraíba do Sul-RJ
21,260460,Condado,PE,2022.Q3,Pré-Natal (6 consultas),43,45.0,Condado-PE
22,260460,Condado,PE,2022.Q3,Pré-Natal (Sífilis e HIV),58,60.0,Condado-PE
23,260460,Condado,PE,2022.Q3,Gestantes Saúde Bucal,58,60.0,Condado-PE
24,260460,Condado,PE,2022.Q3,Cobertura Citopatológico,18,40.0,Condado-PE
25,260460,Condado,PE,2022.Q3,Cobertura Polio e Penta,80,95.0,Condado-PE
26,260460,Condado,PE,2022.Q3,Hipertensão (PA Aferida),29,50.0,Condado-PE
27,260460,Condado,PE,2022.Q3,Diabetes (Hemoglobina Glicada),23,50.0,Condado-PE
28,353930,Pirassununga,SP,2022.Q3,Pré-Natal (6 consultas),21,45.0,Pirassununga-SP
29,353930,Pirassununga,SP,2022.Q3,Pré-Natal (Sífilis e HIV),30,60.0,Pirassununga-SP
30,353930,Pirassununga,SP,2022.Q3,Gestantes Saúde Bucal,21,60.0,Pirassununga-SP
31,353930,Pirassununga,SP,2022.Q3,Cobertura Citopatológico,13,40.0,Pirassununga-SP
32,353930,Pirassununga,SP,2022.Q3,Cobertura Polio e Penta,30,95.0,Pirassununga-SP
33,353930,Pirassununga,SP,2022.Q3,Hipertensão (PA Aferida),21,50.0,Pirassununga-SP
34,353930,Pirassununga,SP,2022.Q3,Diabetes (Hemoglobina Glicada),2,50.0,Pirassununga-SP
35,292600,Remanso,BA,2022.Q3,Pré-Natal (6 consultas),32,45.0,Remanso-BA
36,292600,Remanso,BA,2022.Q3,Pré-Natal (Sífilis e HIV),39,60.0,Remanso-BA
37,292600,Remanso,BA,2022.Q3,Gestantes Saúde Bucal,34,60.0,Remanso-BA
38,292600,Remanso,BA,2022.Q3,Cobertura Citopatológico,12,40.0,Remanso-BA
39,292600,Remanso,BA,2022.Q3,Cobertura Polio e Penta,61,95.0,Remanso-BA
40,292600,Remanso,BA,2022.Q3,Hipertensão (PA Aferida),19,50.0,Remanso-BA
41,292600,Remanso,BA,2022.Q3,Diabetes (Hemoglobina Glicada),10,50.0,Remanso-BA
42,316070,Santos Dumont,MG,2022.Q3,Pré-Natal (6 consultas),39,45.0,Santos Dumont-MG
43,316070,Santos Dumont,MG,2022.Q3,Pré-Natal (Sífilis e HIV),23,60.0,Santos Dumont-MG
44,316070,Santos Dumont,MG,2022.Q3,Gestantes Saúde Bucal,17,60.0,Santos Dumont-MG
45,316070,Santos Dumont,MG,2022.Q3,Cobertura Citopatológico,16,40.0,Santos Dumont-MG
46,316070,Santos Dumont,MG,2022.Q3,Cobertura Polio e Penta,22,95.0,Santos Dumont-MG
47,316070,Santos Dumont,MG,2022.Q3,Hipertensão (PA Aferida),17,50.0,Santos Dumont-MG
48,316070,Santos Dumont,MG,2022.Q3,Diabetes (Hemoglobina Glicada),5,50.0,Santos Dumont-MG
49,355220,Sorocaba,SP,2022.Q3,Pré-Natal (6 consultas),41,45.0,Sorocaba-SP
50,355220,Sorocaba,SP,2022.Q3,Pré-Natal (Sífilis e HIV),42,60.0,Sorocaba-SP
51,355220,Sorocaba,SP,2022.Q3,Gestantes Saúde Bucal,55,60.0,Sorocaba-SP
52,355220,Sorocaba,SP,2022.Q3,Cobertura Citopatológico,17,40.0,Sorocaba-SP
53,355220,Sorocaba,SP,2022.Q3,Cobertura Polio e Penta,67,95.0,Sorocaba-SP
54,355220,Sorocaba,SP,2022.Q3,Hipertensão (PA Aferida),20,50.0,Sorocaba-SP
55,355220,Sorocaba,SP,2022.Q3,Diabetes (Hemoglobina Glicada),10,50.0,Sorocaba-SP
56,330340,Nova Friburgo,RJ,2022.Q3,Pré-Natal (6 consultas),18,45.0,Nova Friburgo-RJ
57,330340,Nova Friburgo,RJ,2022.Q3,Pré-Natal (Sífilis e HIV),33,60.0,Nova Friburgo-RJ
58,330340,Nova Friburgo,RJ,2022.Q3,Gestantes Saúde Bucal,21,60.0,Nova Friburgo-RJ
59,330340,Nova Friburgo,RJ,2022.Q3,Cobertura Citopatológico,6,40.0,Nova Friburgo-RJ
60,330340,Nova Friburgo,RJ,2022.Q3,Cobertura Polio e Penta,26,95.0,Nova Friburgo-RJ
61,330340,Nova Friburgo,RJ,2022.Q3,Hipertensão (PA Aferida),16,50.0,Nova Friburgo-RJ
62,330340,Nova Friburgo,RJ,2022.Q3,Diabetes (Hemoglobina Glicada),8,50.0,Nova Friburgo-RJ
63,315960,Santa Rita do Sapucaí,MG,2022.Q3,Pré-Natal (6 consultas),38,45.0,Santa Rita do Sapucaí-MG
64,315960,Santa Rita do Sapucaí,MG,2022.Q3,Pré-Natal (Sífilis e HIV),50,60.0,Santa Rita do Sapucaí-MG
65,315960,Santa Rita do Sapucaí,MG,2022.Q3,Gestantes Saúde Bucal,44,60.0,Santa Rita do Sapucaí-MG
66,315960,Santa Rita do Sapucaí,MG,2022.Q3,Cobertura Citopatológico,25,40.0,Santa Rita do Sapucaí-MG
67,315960,Santa Rita do Sapucaí,MG,2022.Q3,Cobertura Polio e Penta,93,95.0,Santa Rita do Sapucaí-MG
68,315960,Santa Rita do Sapucaí,MG,2022.Q3,Hipertensão (PA Aferida),32,50.0,Santa Rita do Sapucaí-MG
69,315960,Santa Rita do Sapucaí,MG,2022.Q3,Diabetes (Hemoglobina Glicada),42,50.0,Santa Rita do Sapucaí-MG
70,291080,Feira de Santana,BA,2022.Q3,Pré-Natal (6 consultas),21,45.0,Feira de Santana-BA
71,291080,Feira de Santana,BA,2022.Q3,Pré-Natal (Sífilis e HIV),36,60.0,Feira de Santana-BA
72,291080,Feira de Santana,BA,2022.Q3,Gestantes Saúde Bucal,30,60.0,Feira de Santana-BA
73,291080,Feira de Santana,BA,2022.Q3,Cobertura Citopatológico,4,40.0,Feira de Santana-BA
74,291080,Feira de Santana,BA,2022.Q3,Cobertura Polio e Penta,67,95.0,Feira de Santana-BA
75,291080,Feira de Santana,BA,2022.Q3,Hipertensão (PA Aferida),18,50.0,Feira de Santana-BA
76,291080,Feira de Santana,BA,2022.Q3,Diabetes (Hemoglobina Glicada),17,50.0,Feira de Santana-BA
77,210530,Imperatriz,MA,2022.Q3,Pré-Natal (6 consultas),30,45.0,Imperatriz-MA
78,210530,Imperatriz,MA,2022.Q3,Pré-Natal (Sífilis e HIV),55,60.0,Imperatriz-MA
79,210530,Imperatriz,MA,2022.Q3,Gestantes Saúde Bucal,39,60.0,Imperatriz-MA
80,210530,Imperatriz,MA,2022.Q3,Cobertura Citopatológico,12,40.0,Imperatriz-MA
81,210530,Imperatriz,MA,2022.Q3,Cobertura Polio e Penta,65,95.0,Imperatriz-MA
82,210530,Imperatriz,MA,2022.Q3,Hipertensão (PA Aferida),39,50.0,Imperatriz-MA
83,210530,Imperatriz,MA,2022.Q3,Diabetes (Hemoglobina Glicada),41,50.0,Imperatriz-MA
84,313665,Juatuba,MG,2022.Q3,Pré-Natal (6 consultas),39,45.0,Juatuba-MG
85,313665,Juatuba,MG,2022.Q3,Pré-Natal (Sífilis e HIV),48,60.0,Juatuba-MG
86,313665,Juatuba,MG,2022.Q3,Gestantes Saúde Bucal,58,60.0,Juatuba-MG
87,313665,Juatuba,MG,2022.Q3,Cobertura Citopatológico,26,40.0,Juatuba-MG
88,313665,Juatuba,MG,2022.Q3,Cobertura Polio e Penta,70,95.0,Juatuba-MG
89,313665,Juatuba,MG,2022.Q3,Hipertensão (PA Aferida),48,50.0,Juatuba-MG
90,313665,Juatuba,MG,2022.Q3,Diabetes (Hemoglobina Glicada),44,50.0,Juatuba-MG
91,230765,Maracanaú,CE,2022.Q3,Pré-Natal (6 consultas),33,45.0,Maracanaú-CE
92,230765,Maracanaú,CE,2022.Q3,Pré-Natal (Sífilis e HIV),59,60.0,Maracanaú-CE
93,230765,Maracanaú,CE,2022.Q3,Gestantes Saúde Bucal,58,60.0,Maracanaú-CE
94,230765,Maracanaú,CE,2022.Q3,Cobertura Citopatológico,16,40.0,Maracanaú-CE
95,230765,Maracanaú,CE,2022.Q3,Cobertura Polio e Penta,48,95.0,Maracanaú-CE
96,230765,Maracanaú,CE,2022.Q3,Hipertensão (PA Aferida),35,50.0,Maracanaú-CE
97,230765,Maracanaú,CE,2022.Q3,Diabetes (Hemoglobina Glicada),28,50.0,Maracanaú-CE
98,420820,Itajaí,SC,2022.Q3,Pré-Natal (6 consultas),37,45.0,Itajaí-SC
99,420820,Itajaí,SC,2022.Q3,Pré-Natal (Sífilis e HIV),57,60.0,Itajaí-SC
100,420820,Itajaí,SC,2022.Q3,Gestantes Saúde Bucal,31,60.0,Itajaí-SC
101,420820,Itajaí,SC,2022.Q3,Cobertura Citopatológico,20,40.0,Itajaí-SC
