"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"120001",AC,ACRELÂNDIA,4.97,2022-09-01
"120005",AC,ASSIS BRASIL,5.87,2022-09-01
"120010",AC,BRASILÉIA,5.82,2022-09-01
"120013",AC,BUJARI,4.88,2022-09-01
"120017",AC,CAPIXABA,3.8,2022-09-01
"120020",AC,CRUZEIRO DO SUL,4.6,2022-09-01
"120025",AC,EPITACIOLÂNDIA,6.93,2022-09-01
"120030",AC,FEIJÓ,3.49,2022-09-01
"120032",AC,JORDÃO,4.11,2022-09-01
"120034",AC,MANOEL URBANO,7.57,2022-09-01
"120035",AC,MARECHAL THAUMATURGO,5.69,2022-09-01
"120033",AC,MÂNCIO LIMA,6.51,2022-09-01
"120038",AC,PLÁCIDO DE CASTRO,4.08,2022-09-01
"120080",AC,PORTO ACRE,5.46,2022-09-01
"120039",AC,PORTO WALTER,5.83,2022-09-01
"120040",AC,RIO BRANCO,4.57,2022-09-01
"120042",AC,RODRIGUES ALVES,5.01,2022-09-01
"120043",AC,SANTA ROSA DO PURUS,5.08,2022-09-01
"120050",AC,SENA MADUREIRA,6.19,2022-09-01
"120045",AC,SENADOR GUIOMARD,3.09,2022-09-01
"120060",AC,TARAUACÁ,4.74,2022-09-01
"120070",AC,XAPURI,5.25,2022-09-01
"270020",AL,ANADIA,8.04,2022-09-01
"270030",AL,ARAPIRACA,7.59,2022-09-01
"270040",AL,ATALAIA,7.16,2022-09-01
"270050",AL,BARRA DE SANTO ANTÔNIO,5.43,2022-09-01
"270060",AL,BARRA DE SÃO MIGUEL,7.87,2022-09-01
"270070",AL,BATALHA,8.12,2022-09-01
"270090",AL,BELO MONTE,9.08,2022-09-01
"270080",AL,BELÉM,9.55,2022-09-01
"270100",AL,BOCA DA MATA,7.9,2022-09-01
"270110",AL,BRANQUINHA,9.26,2022-09-01
"270120",AL,CACIMBINHAS,7.43,2022-09-01
"270130",AL,CAJUEIRO,6.73,2022-09-01
"270135",AL,CAMPESTRE,7.55,2022-09-01
"270140",AL,CAMPO ALEGRE,9.55,2022-09-01
"270150",AL,CAMPO GRANDE,6.57,2022-09-01
"270160",AL,CANAPI,9.1,2022-09-01
"270170",AL,CAPELA,6.52,2022-09-01
"270180",AL,CARNEIROS,6.13,2022-09-01
"270190",AL,CHÃ PRETA,8.15,2022-09-01
"270200",AL,COITÉ DO NÓIA,8.94,2022-09-01
"270210",AL,COLÔNIA LEOPOLDINA,7.06,2022-09-01
"270220",AL,COQUEIRO SECO,8.97,2022-09-01
"270230",AL,CORURIPE,9.59,2022-09-01
"270235",AL,CRAÍBAS,8.36,2022-09-01
"270240",AL,DELMIRO GOUVEIA,5.06,2022-09-01
"270250",AL,DOIS RIACHOS,8.84,2022-09-01
"270255",AL,ESTRELA DE ALAGOAS,7.03,2022-09-01
"270260",AL,FEIRA GRANDE,8.42,2022-09-01
"270270",AL,FELIZ DESERTO,8.21,2022-09-01
"270280",AL,FLEXEIRAS,8.23,2022-09-01
"270290",AL,GIRAU DO PONCIANO,7.35,2022-09-01
"270300",AL,IBATEGUARA,7.05,2022-09-01
"270310",AL,IGACI,7.8,2022-09-01
"270320",AL,IGREJA NOVA,9.19,2022-09-01
"270330",AL,INHAPI,7.73,2022-09-01
"270340",AL,JACARÉ DOS HOMENS,9.44,2022-09-01
"270350",AL,JACUÍPE,4.86,2022-09-01
"270360",AL,JAPARATINGA,6.26,2022-09-01
"270370",AL,JARAMATAIA,8.32,2022-09-01
"270375",AL,JEQUIÁ DA PRAIA,9.47,2022-09-01
"270380",AL,JOAQUIM GOMES,7.34,2022-09-01
"270390",AL,JUNDIÁ,7.71,2022-09-01
"270400",AL,JUNQUEIRO,7.64,2022-09-01
"270410",AL,LAGOA DA CANOA,9.04,2022-09-01
"270420",AL,LIMOEIRO DE ANADIA,7.92,2022-09-01
"270430",AL,MACEIÓ,6.82,2022-09-01
"270440",AL,MAJOR ISIDORO,6.54,2022-09-01
"270490",AL,MAR VERMELHO,9.55,2022-09-01
"270450",AL,MARAGOGI,5.65,2022-09-01
"270460",AL,MARAVILHA,7.37,2022-09-01
"270470",AL,MARECHAL DEODORO,7.38,2022-09-01
"270480",AL,MARIBONDO,7.53,2022-09-01
"270500",AL,MATA GRANDE,8.59,2022-09-01
"270510",AL,MATRIZ DE CAMARAGIBE,7.11,2022-09-01
"270520",AL,MESSIAS,7.9,2022-09-01
"270530",AL,MINADOR DO NEGRÃO,7.46,2022-09-01
"270540",AL,MONTEIRÓPOLIS,8.89,2022-09-01
"270550",AL,MURICI,6.94,2022-09-01
"270560",AL,NOVO LINO,8.39,2022-09-01
"270570",AL,OLHO D'ÁGUA DAS FLORES,8.45,2022-09-01
"270580",AL,OLHO D'ÁGUA DO CASADO,6.65,2022-09-01
