"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"316130",MG,SÃO FRANCISCO DE SALES,0.0,2022-12-01
"150490",PA,MUANÁ,0.0,2022-12-01
"421550",SC,SANTA CECÍLIA,0.0,2022-12-01
"420325",SC,CAPÃO ALTO,0.0,2022-12-01
"354700",SP,SANTA MARIA DA SERRA,0.0,2022-12-01
"410670",PR,CRUZEIRO DO SUL,0.0,2022-12-01
"353380",SP,ÓLEO,0.0,2022-12-01
"353030",SP,MIRASSOL,0.0,2022-12-01
"411640",PR,NOSSA SENHORA DAS GRAÇAS,0.0,2022-12-01
"350720",SP,BORÁ,0.0,2022-12-01
"350275",SP,ARAÇARIGUAMA,0.0,2022-12-01
"411260",PR,JARDIM OLINDA,0.19,2022-12-01
"221062",PI,SEBASTIÃO BARROS,0.25,2022-12-01
"521940",GO,SANTA RITA DO ARAGUAIA,0.3,2022-12-01
"350995",SP,CANAS,0.37,2022-12-01
"354230",SP,REDENÇÃO DA SERRA,0.41,2022-12-01
"220669",PI,MURICI DOS PORTELAS,0.52,2022-12-01
"330570",RJ,SUMIDOURO,0.52,2022-12-01
"312460",MG,ESTRELA DALVA,0.6,2022-12-01
"330045",RJ,BELFORD ROXO,0.61,2022-12-01
"431695",RS,SANTA MARIA DO HERVAL,0.62,2022-12-01
"330320",RJ,NILÓPOLIS,0.64,2022-12-01
"316810",MG,TAPIRA,0.65,2022-12-01
"315860",MG,SANTANA DO DESERTO,0.69,2022-12-01
"315480",MG,RIO ACIMA,0.69,2022-12-01
"411710",PR,NOVA LONDRINA,0.74,2022-12-01
"310680",MG,BIAS FORTES,0.77,2022-12-01
"350040",SP,ÁGUAS DA PRATA,0.84,2022-12-01
"312710",MG,FRUTAL,0.93,2022-12-01
"330160",RJ,DUAS BARRAS,0.99,2022-12-01
"110080",RO,CANDEIAS DO JAMARI,1.08,2022-12-01
"330530",RJ,SÃO SEBASTIÃO DO ALTO,1.09,2022-12-01
"310720",MG,BOCAINA DE MINAS,1.11,2022-12-01
"431697",RS,SANTA MARGARIDA DO SUL,1.14,2022-12-01
"431267",RS,NICOLAU VERGUEIRO,1.17,2022-12-01
"353430",SP,ORLÂNDIA,1.2,2022-12-01
"350960",SP,CAMPO LIMPO PAULISTA,1.27,2022-12-01
"330090",RJ,CAMBUCI,1.29,2022-12-01
"350115",SP,ALUMÍNIO,1.33,2022-12-01
"320020",ES,ALEGRE,1.35,2022-12-01
"330095",RJ,COMENDADOR LEVY GASPARIAN,1.39,2022-12-01
"140070",RR,UIRAMUTÃ,1.41,2022-12-01
"310180",MG,ALPERCATA,1.43,2022-12-01
"430825",RS,FLORIANO PEIXOTO,1.43,2022-12-01
"130180",AM,IPIXUNA,1.49,2022-12-01
"150640",PA,SANTA CRUZ DO ARARI,1.51,2022-12-01
"315727",MG,SANTA BÁRBARA DO MONTE VERDE,1.54,2022-12-01
"432235",RS,UNIÃO DA SERRA,1.54,2022-12-01
"412863",PR,DOUTOR ULYSSES,1.57,2022-12-01
"310770",MG,BOM JESUS DO AMPARO,1.58,2022-12-01
"313695",MG,JUVENÍLIA,1.59,2022-12-01
"110010",RO,GUAJARÁ-MIRIM,1.61,2022-12-01
"430490",RS,CASCA,1.62,2022-12-01
"352700",SP,LINDÓIA,1.64,2022-12-01
"314110",MG,MATOZINHOS,1.65,2022-12-01
"140045",RR,PACARAIMA,1.68,2022-12-01
"354410",SP,RIO GRANDE DA SERRA,1.69,2022-12-01
"410110",PR,ANDIRÁ,1.71,2022-12-01
"315930",MG,SANTA RITA DE JACUTINGA,1.72,2022-12-01
"317120",MG,VESPASIANO,1.77,2022-12-01
"311960",MG,CORONEL PACHECO,1.77,2022-12-01
"330230",RJ,LAJE DO MURIAÉ,1.79,2022-12-01
"355620",SP,VALINHOS,1.8,2022-12-01
"330330",RJ,NITERÓI,1.8,2022-12-01
"315390",MG,RAPOSOS,1.82,2022-12-01
"330510",RJ,SÃO JOÃO DE MERITI,1.83,2022-12-01
"150280",PA,CURRALINHO,1.9,2022-12-01
"330100",RJ,CAMPOS DOS GOYTACAZES,1.92,2022-12-01
"313660",MG,NOVA UNIÃO,1.93,2022-12-01
"330475",RJ,SÃO FRANCISCO DE ITABAPOANA,1.98,2022-12-01
"310400",MG,ARAXÁ,2.0,2022-12-01
