"municipio_id_sus","nome","uf_sigla","periodo_codigo","indicadores_nome","peso","nota_porcentagem","meta"
"500085",Angélica,MS,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,43,50.0
"260030",Agrestina,PE,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,13,50.0
"293010",Senhor do Bonfim,BA,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,79,50.0
"171865",Rio da Conceição,TO,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,3,50.0
"520020",Água Limpa,GO,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,2,50.0
"220885",Riacho Frio,PI,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"431360",Paim Filho,RS,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"411700",Nova Fátima,PR,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"432147",Tiradentes do Sul,RS,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"130180",Ipixuna,AM,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"352380",Itobi,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,1,50.0
"313690",Juruaia,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,4,50.0
"510715",Reserva do Cabaçal,MT,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,25,50.0
"421085",Mirim Doce,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,18,50.0
"420980",Leoberto Leal,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,17,50.0
"311490",Casa Grande,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,16,50.0
"354440",Rubiácea,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,13,50.0
"312720",Funilândia,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,8,50.0
"350140",Álvaro de Carvalho,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,6,50.0
"317057",Vargem Alegre,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,6,50.0
"420780",Irani,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,5,50.0
"354190",Queluz,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,5,50.0
"280070",Brejo Grande,SE,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,5,50.0
"316380",São Miguel do Anta,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),1.0,5,50.0
"421550",Santa Cecília,SC,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"432235",União da Serra,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"431046",Ipiranga do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"521225",Lagoa Santa,GO,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"316660",Serra da Saudade,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350040",Águas da Prata,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"431700",Santana da Boa Vista,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"314040",Marmelópolis,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"317210",Volta Grande,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"316810",Tapira,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"354810",Santo Antônio do Jardim,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"521940",Santa Rita do Araguaia,GO,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"431695",Santa Maria do Herval,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"315610",Ritápolis,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"410670",Cruzeiro do Sul,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"240870",Paraú,RN,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"412863",Doutor Ulysses,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"411100",Itambaracá,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"210667",Milagres do Maranhão,MA,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"430090",Aratiba,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"354210",Rafard,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"430490",Casca,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"412050",Primeiro de Maio,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"310770",Bom Jesus do Amparo,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"432218",Tupanci do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"431517",Protásio Alves,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"430925",Guabiju,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"310310",Antônio Prado de Minas,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"430461",Canudos do Vale,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350115",Alumínio,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"412865",Virmond,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"412175",Reserva do Iguaçu,PR,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"330530",São Sebastião do Alto,RJ,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350995",Canas,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350310",Arandu,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"310180",Alpercata,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"311787",Confins,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350960",Campo Limpo Paulista,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"330090",Cambuci,RJ,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"240670",Lajes,RN,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"314780",Passa-Vinte,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"430825",Floriano Peixoto,RS,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"310330",Aracitaba,MG,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
"350335",Arco-Íris,SP,"2022.Q3",Pré-Natal (6 consultas),1.0,0,45.0
