"municipio_id_sus","nome","uf_sigla","periodo_codigo","indicadores_nome","numerador","denominador_estimado","denominador_informado","nota_porcentagem","denominador_utilizado","cadastro","base_externa","porcentagem","populacao"
"500085",Angélica,MS,"2022.Q3",Diabetes (Hemoglobina Glicada),398,885,925,43,925,11345,7.8,105,11081
"260030",Agrestina,PE,"2022.Q3",Diabetes (Hemoglobina Glicada),399,1822,3142,13,3142,25666,7.1,172,25240
"293010",Senhor do Bonfim,BA,"2022.Q3",Diabetes (Hemoglobina Glicada),3994,4646,5059,79,5059,69339,6.7,109,79813
"171865",Rio da Conceição,TO,"2022.Q3",Diabetes (Hemoglobina Glicada),4,132,102,3,132,2089,6.3,77,2211
"520020",Água Limpa,GO,"2022.Q3",Diabetes (Hemoglobina Glicada),4,169,201,2,201,2280,7.4,119,1809
"220885",Riacho Frio,PI,"2022.Q3",Diabetes (Hemoglobina Glicada),4,324,315,1,315,4768,6.8,97,4306
"431360",Paim Filho,RS,"2022.Q3",Diabetes (Hemoglobina Glicada),4,427,414,1,414,4855,8.8,97,3731
"411700",Nova Fátima,PR,"2022.Q3",Diabetes (Hemoglobina Glicada),4,485,450,1,450,6302,7.7,93,8120
"432147",Tiradentes do Sul,RS,"2022.Q3",Diabetes (Hemoglobina Glicada),4,469,306,1,469,5332,8.8,65,5532
"130180",Ipixuna,AM,"2022.Q3",Diabetes (Hemoglobina Glicada),4,470,129,1,470,8700,5.4,27,31172
"352380",Itobi,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),4,705,520,1,705,8199,8.6,74,7862
"313690",Juruaia,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),40,1011,1002,4,1002,12635,8.0,99,10795
"510715",Reserva do Cabaçal,MT,"2022.Q3",Diabetes (Hemoglobina Glicada),40,167,158,25,158,2525,6.6,95,2754
"421085",Mirim Doce,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),40,198,222,18,222,2871,6.9,112,2257
"420980",Leoberto Leal,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),40,278,242,17,242,4035,6.9,87,2960
"311490",Casa Grande,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),40,201,254,16,254,2511,8.0,126,2251
"354440",Rubiácea,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),40,288,309,13,309,3351,8.6,107,3195
"312720",Funilândia,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),40,413,477,8,477,5226,7.9,115,4434
"350140",Álvaro de Carvalho,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),40,643,398,6,643,7481,8.6,62,5320
"317057",Vargem Alegre,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),40,517,651,6,651,6462,8.0,126,6460
"420780",Irani,SC,"2022.Q3",Diabetes (Hemoglobina Glicada),40,769,745,5,745,11149,6.9,97,10575
"354190",Queluz,SP,"2022.Q3",Diabetes (Hemoglobina Glicada),40,750,629,5,750,8718,8.6,84,13788
"280070",Brejo Grande,SE,"2022.Q3",Diabetes (Hemoglobina Glicada),40,557,775,5,775,8198,6.8,139,8396
"316380",São Miguel do Anta,MG,"2022.Q3",Diabetes (Hemoglobina Glicada),40,567,811,5,811,7082,8.0,143,6949
"421550",Santa Cecília,SC,"2022.Q3",Pré-Natal (6 consultas),0,0,0,0,0,0,82.0,0,17004
"432235",União da Serra,RS,"2022.Q3",Pré-Natal (6 consultas),0,0,0,0,0,1354,0.0,0,1084
"431046",Ipiranga do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),0,1,0,0,1,2108,1.0,0,1871
"521225",Lagoa Santa,GO,"2022.Q3",Pré-Natal (6 consultas),0,1,1,0,1,1216,1.0,100,1652
"316660",Serra da Saudade,MG,"2022.Q3",Pré-Natal (6 consultas),0,1,1,0,1,871,1.0,100,771
"350040",Águas da Prata,SP,"2022.Q3",Pré-Natal (6 consultas),0,10,0,0,10,5256,16.0,0,8262
"431700",Santana da Boa Vista,RS,"2022.Q3",Pré-Natal (6 consultas),0,10,3,0,10,4801,17.0,30,8037
"314040",Marmelópolis,MG,"2022.Q3",Pré-Natal (6 consultas),0,10,4,0,10,3116,9.0,40,2701
"317210",Volta Grande,MG,"2022.Q3",Pré-Natal (6 consultas),0,10,6,0,10,4439,12.0,60,5270
"316810",Tapira,MG,"2022.Q3",Pré-Natal (6 consultas),0,11,0,0,11,4796,11.0,0,4890
"354810",Santo Antônio do Jardim,SP,"2022.Q3",Pré-Natal (6 consultas),0,11,4,0,11,4022,16.0,36,5926
"521940",Santa Rita do Araguaia,GO,"2022.Q3",Pré-Natal (6 consultas),0,11,8,0,11,5093,20.0,73,9110
"431695",Santa Maria do Herval,RS,"2022.Q3",Pré-Natal (6 consultas),0,12,1,0,12,4879,16.0,8,6382
"315610",Ritápolis,MG,"2022.Q3",Pré-Natal (6 consultas),0,12,3,0,12,5579,10.0,25,4521
"410670",Cruzeiro do Sul,PR,"2022.Q3",Pré-Natal (6 consultas),0,12,5,0,12,3539,15.0,42,4430
"240870",Paraú,RN,"2022.Q3",Pré-Natal (6 consultas),0,13,9,0,13,3641,13.0,69,3732
"412863",Doutor Ulysses,PR,"2022.Q3",Pré-Natal (6 consultas),0,14,6,0,14,5572,14.0,43,5525
"411100",Itambaracá,PR,"2022.Q3",Pré-Natal (6 consultas),0,15,1,0,15,5289,18.0,7,6516
"210667",Milagres do Maranhão,MA,"2022.Q3",Pré-Natal (6 consultas),0,15,10,0,15,7299,17.0,67,8502
"430090",Aratiba,RS,"2022.Q3",Pré-Natal (6 consultas),0,15,2,0,15,6396,14.0,13,6145
"354210",Rafard,SP,"2022.Q3",Pré-Natal (6 consultas),0,16,2,0,16,5183,29.0,13,9126
"430490",Casca,RS,"2022.Q3",Pré-Natal (6 consultas),0,17,0,0,17,8327,19.0,0,9070
"412050",Primeiro de Maio,PR,"2022.Q3",Pré-Natal (6 consultas),0,19,14,0,19,9029,23.0,74,11138
"310770",Bom Jesus do Amparo,MG,"2022.Q3",Pré-Natal (6 consultas),0,19,9,0,19,5792,20.0,47,6182
"432218",Tupanci do Sul,RS,"2022.Q3",Pré-Natal (6 consultas),0,2,0,0,2,1630,2.0,0,1447
"431517",Protásio Alves,RS,"2022.Q3",Pré-Natal (6 consultas),0,2,0,0,2,2194,2.0,0,1929
"430925",Guabiju,RS,"2022.Q3",Pré-Natal (6 consultas),0,1,2,0,2,1589,1.0,200,1478
"310310",Antônio Prado de Minas,MG,"2022.Q3",Pré-Natal (6 consultas),0,1,2,0,2,1767,1.0,200,1577
"430461",Canudos do Vale,RS,"2022.Q3",Pré-Natal (6 consultas),0,2,2,0,2,2022,2.0,100,1693
