municipio_id_sus,nome,uf_sigla,periodo_codigo,indicadores_nome,peso,meta,resultado,nota,isf_calculado,isf_calculado_erro,isf_calculado_final
520005,Abadia de Goiás,GO,2022.Q3,Pré-Natal (6 consultas),1,45,38,8.44,6.694795322,6.694795322,6.694795322
520005,Abadia de Goiás,GO,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,68,10.00,6.850350877,#VALUE!,
520005,Abadia de Goiás,GO,2022.Q3,Gestantes Saúde Bucal,2,60,53,8.83,6.300350877,#VALUE!,
520005,Abadia de Goiás,GO,2022.Q3,Cobertura Citopatológico,1,40,18,4.50,6.533684211,#VALUE!,
520005,Abadia de Goiás,GO,2022.Q3,Cobertura Polio e Penta,2,95,51,5.37,6.333684211,#VALUE!,
520005,Abadia de Goiás,GO,2022.Q3,Hipertensão (PA Aferida),2,50,27,5.40,6.881052632,#VALUE!,
520005,Abadia de Goiás,GO,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,24,4.80,6.961052632,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Pré-Natal (6 consultas),1,45,67,10.00,7.161052632,7.161052632,7.161052632
310010,Abadia dos Dourados,MG,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,27,4.50,7.161052632,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Gestantes Saúde Bucal,2,60,60,10.00,7.711052632,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Cobertura Citopatológico,1,40,10,2.50,7.544385965,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Cobertura Polio e Penta,2,95,77,8.11,7.669385965,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Hipertensão (PA Aferida),2,50,29,5.80,7.564122807,#VALUE!,
310010,Abadia dos Dourados,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,34,6.80,7.044122807,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Pré-Natal (6 consultas),1,45,55,10.00,6.504122807,6.504122807,6.504122807
520010,Abadiânia,GO,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,92,10.00,5.970789474,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Gestantes Saúde Bucal,2,60,55,9.17,5.970789474,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Cobertura Citopatológico,1,40,15,3.75,6.13745614,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Cobertura Polio e Penta,2,95,72,7.58,6.53745614,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Hipertensão (PA Aferida),2,50,16,3.20,6.411140351,#VALUE!,
520010,Abadiânia,GO,2022.Q3,Diabetes (Hemoglobina Glicada),1,50,7,1.40,6.771140351,#VALUE!,
310020,Abaeté,MG,2022.Q3,Pré-Natal (6 consultas),1,45,21,4.67,7.071140351,7.071140351,7.071140351
310020,Abaeté,MG,2022.Q3,Pré-Natal (Sífilis e HIV),1,60,87,10.00,7.226695906,#VALUE!,
