,municipio_id_sus,nome,uf_sigla,periodo_codigo,isf_calculado_final
0,350960,Campo Limpo Paulista,SP,2022.Q3,0.34
1,330045,Belford Roxo,RJ,2022.Q3,0.62
2,350995,Canas,SP,2022.Q3,0.81
3,221062,Sebastião Barros,PI,2022.Q3,0.84
4,315480,Rio Acima,MG,2022.Q3,0.85
5,310180,Alpercata,MG,2022.Q3,0.87
6,312460,Estrela Dalva,MG,2022.Q3,0.9
7,330320,Nilópolis,RJ,2022.Q3,0.93
8,330090,Cambuci,RJ,2022.Q3,0.98
9,431150,Lavras do Sul,RS,2022.Q3,1.02
10,350040,Águas da Prata,SP,2022.Q3,1.05
11,431695,Santa Maria do Herval,RS,2022.Q3,1.15
12,521940,Santa Rita do Araguaia,GO,2022.Q3,1.23
13,314040,Marmelópolis,MG,2022.Q3,1.51
14,330570,Sumidouro,RJ,2022.Q3,1.54
15,411100,Itambaracá,PR,2022.Q3,1.54
16,353430,Orlândia,SP,2022.Q3,1.55
17,431055,Itacurubi,RS,2022.Q3,1.56
18,330530,São Sebastião do Alto,RJ,2022.Q3,1.59
19,430090,Aratiba,RS,2022.Q3,1.65
20,312850,Guarará,MG,2022.Q3,1.66
21,330510,São João de Meriti,RJ,2022.Q3,1.7
22,430490,Casca,RS,2022.Q3,1.74
23,140070,Uiramutã,RR,2022.Q3,1.77
24,330330,Niterói,RJ,2022.Q3,1.8
25,354410,Rio Grande da Serra,SP,2022.Q3,1.81
26,351350,Cubatão,SP,2022.Q3,1.82
27,314780,Passa-Vinte,MG,2022.Q3,1.85
28,412863,Doutor Ulysses,PR,2022.Q3,1.86
29,355620,Valinhos,SP,2022.Q3,1.87
30,330120,Carmo,RJ,2022.Q3,1.94
31,310400,Araxá,MG,2022.Q3,1.94
32,431700,Santana da Boa Vista,RS,2022.Q3,1.95
33,330100,Campos dos Goytacazes,RJ,2022.Q3,1.95
34,150280,Curralinho,PA,2022.Q3,2.01
35,355640,Vargem Grande do Sul,SP,2022.Q3,2.04
36,354810,Santo Antônio do Jardim,SP,2022.Q3,2.05
37,330150,Cordeiro,RJ,2022.Q3,2.08
38,315860,Santana do Deserto,MG,2022.Q3,2.09
39,315390,Raposos,MG,2022.Q3,2.1
40,314930,Pedro Leopoldo,MG,2022.Q3,2.14
41,430185,Barra do Guarita,RS,2022.Q3,2.15
42,330015,Aperibé,RJ,2022.Q3,2.16
43,350115,Alumínio,SP,2022.Q3,2.17
44,330160,Duas Barras,RJ,2022.Q3,2.2
45,411995,Pontal do Paraná,PR,2022.Q3,2.22
46,315930,Santa Rita de Jacutinga,MG,2022.Q3,2.23
47,310720,Bocaina de Minas,MG,2022.Q3,2.24
48,430085,Arambaré,RS,2022.Q3,2.35
49,352500,Jandira,SP,2022.Q3,2.36
50,311470,Carvalhópolis,MG,2022.Q3,2.38
51,431125,Lagoão,RS,2022.Q3,2.38
52,412175,Reserva do Iguaçu,PR,2022.Q3,2.4
53,110010,Guajará-Mirim,RO,2022.Q3,2.41
54,313670,Juiz de Fora,MG,2022.Q3,2.43
55,330170,Duque de Caxias,RJ,2022.Q3,2.45
56,350450,Avaré,SP,2022.Q3,2.47
57,354520,Salto,SP,2022.Q3,2.48
58,291360,Ilhéus,BA,2022.Q3,2.49
59,150310,Gurupá,PA,2022.Q3,2.49
60,412575,São Pedro do Iguaçu,PR,2022.Q3,2.5
61,316550,Sardoá,MG,2022.Q3,2.51
62,311787,Confins,MG,2022.Q3,2.52
63,150640,Santa Cruz do Arari,PA,2022.Q3,2.53
64,310330,Aracitaba,MG,2022.Q3,2.56
65,330350,Nova Iguaçu,RJ,2022.Q3,2.57
66,150520,Oeiras do Pará,PA,2022.Q3,2.57
67,354075,Potim,SP,2022.Q3,2.59
68,353205,Motuca,SP,2022.Q3,2.61
69,330095,Comendador Levy Gasparian,RJ,2022.Q3,2.63
70,150360,Itaituba,PA,2022.Q3,2.64
71,330412,Quatis,RJ,2022.Q3,2.66
72,320150,Colatina,ES,2022.Q3,2.67
73,354995,São Lourenço da Serra,SP,2022.Q3,2.68
74,314110,Matozinhos,MG,2022.Q3,2.69
75,310160,Alfenas,MG,2022.Q3,2.69
76,310360,Arantina,MG,2022.Q3,2.7
77,316250,São João del Rei,MG,2022.Q3,2.71
78,411570,Matinhos,PR,2022.Q3,2.73
79,350310,Arandu,SP,2022.Q3,2.75
80,521690,Pilar de Goiás,GO,2022.Q3,2.77
81,240350,Espírito Santo,RN,2022.Q3,2.78
82,292920,São Francisco do Conde,BA,2022.Q3,2.79
83,150200,Cachoeira do Arari,PA,2022.Q3,2.8
84,150180,Breves,PA,2022.Q3,2.82
85,330020,Araruama,RJ,2022.Q3,2.83
86,350990,Cananéia,SP,2022.Q3,2.83
87,130180,Ipixuna,AM,2022.Q3,2.84
88,330414,Queimados,RJ,2022.Q3,2.84
89,430825,Floriano Peixoto,RS,2022.Q3,2.85
90,311050,Camanducaia,MG,2022.Q3,2.85
91,520800,Formosa,GO,2022.Q3,2.85
92,520110,Anápolis,GO,2022.Q3,2.87
93,351340,Cruzeiro,SP,2022.Q3,2.88
94,510010,Acorizal,MT,2022.Q3,2.9
95,521560,Padre Bernardo,GO,2022.Q3,2.9
96,330490,São Gonçalo,RJ,2022.Q3,2.9
97,330513,São José de Ubá,RJ,2022.Q3,2.9
98,353780,Piedade,SP,2022.Q3,2.92
99,240870,Paraú,RN,2022.Q3,2.93
